,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,PrevPodiumRace,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
8,RIC,3,Renault,9.0,6.0,Finished,2.0,Monaco,2019.0,30.0,0 days 00:01:11.218000,0.0,0 days 00:01:20.292987012,0 days 00:00:07.273639,0 days 00:00:02.906402597,0 days 00:00:24.269000,1.0,0.0,0.0,67.0,11.0,0.0,Renault,4,True,3,113.2308062370886,290,7269.563998075671,12232,35.194187395647624,0.11602569544669893,17.14916376602428,6
9,VER,33,Red Bull Racing,4.0,3.0,Finished,12.0,Monaco,2019.0,21.0,0 days 00:01:10.618000,0.0,0 days 00:01:19.548441558,0 days 00:00:08.248897,0 days 00:00:02.161857142,0 days 00:00:24.011000,1.0,67.0,0.0,0.0,11.0,0.0,Honda,0,True,33,112.93409174519626,295,7352.157794945808,12888,37.67770325720916,0.9904632538132835,22.189206780428446,6
10,NOR,4,McLaren,11.0,12.0,Finished,0.0,Monaco,2019.0,19.0,0 days 00:01:11.724000,0.0,0 days 00:01:20.287350649,0 days 00:00:06.080128,0 days 00:00:02.900766233,0 days 00:00:25.026000,1.0,0.0,0.0,47.0,31.0,0.0,Renault,0,True,4,112.95395760817274,296,7370.121855279169,12426,34.79310637575346,3.390214223052325,20.774259274980896,6
11,HAM,44,Mercedes,1.0,1.0,Finished,25.0,Monaco,2019.0,33.0,0 days 00:01:10.166000,0.0,0 days 00:01:19.564727272,0 days 00:00:08.389065,0 days 00:00:02.178142857,0 days 00:00:24.266000,1.0,0.0,0.0,67.0,11.0,0.0,Mercedes,6,True,44,113.17876446783825,294,6881.0356283781875,13098,35.877974927130204,0.3339276112856213,21.300619747007385,6
12,VET,5,Ferrari,2.0,4.0,Finished,18.0,Monaco,2019.0,32.0,0 days 00:01:10.947000,0.0,0 days 00:01:19.557454545,0 days 00:00:08.177870,0 days 00:00:02.170870129,0 days 00:00:24.483000,1.0,67.0,0.0,0.0,11.0,0.0,Ferrari,6,True,5,113.12697738913886,296,7072.514531510881,12871,46.46393298808614,8.922658969352238,30.639273282961206,6
13,SAI,55,McLaren,6.0,9.0,Finished,8.0,Monaco,2019.0,25.0,0 days 00:01:11.417000,0.0,0 days 00:01:20.156077922,0 days 00:00:06.518010,0 days 00:00:02.769493506,0 days 00:00:23.795000,1.0,0.0,0.0,48.0,30.0,0.0,Renault,0,True,55,112.49987265472451,294,7110.370857741178,12121,34.035486883436626,0.17545349067549593,21.094037411212042,6
14,RUS,63,Williams,15.0,19.0,+1 Lap,0.0,Monaco,2019.0,20.0,0 days 00:01:13.477000,0.0,0 days 00:01:20.740026315,0 days 00:00:06.152818,0 days 00:00:03.331210526,0 days 00:00:26.165000,1.0,67.0,0.0,10.0,0.0,0.0,Mercedes,0,True,63,111.69957834564337,290,7277.490647196989,12626,34.8033505956929,0.44429351671053,23.397571950080653,6
15,RAI,7,Alfa Romeo Racing,17.0,14.0,+1 Lap,0.0,Monaco,2019.0,39.0,0 days 00:01:11.993000,0.0,0 days 00:01:21.069421052,0 days 00:00:06.029244,0 days 00:00:03.660605263,0 days 00:00:26.299000,1.0,0.0,0.0,31.0,46.0,0.0,Ferrari,4,True,7,111.71273735744404,291,7145.514644706682,13027,42.625067210006506,8.619860203186462,31.94668477799474,6
16,BOT,77,Mercedes,3.0,2.0,Finished,15.0,Monaco,2019.0,29.0,0 days 00:01:10.252000,0.0,0 days 00:01:19.594545454,0 days 00:00:08.680286,0 days 00:00:02.207961038,0 days 00:00:24.903000,2.0,66.0,0.0,1.0,11.0,0.0,Mercedes,0,True,77,113.13764609332993,292,7112.895152389847,13344,34.06200299968871,0.36788635141636244,21.343068172170813,6
17,GRO,8,Haas F1 Team,10.0,13.0,Finished,1.0,Monaco,2019.0,33.0,0 days 00:01:11.837000,0.0,0 days 00:01:20.155376623,0 days 00:00:06.283864,0 days 00:00:02.768792207,0 days 00:00:24.219000,1.0,0.0,0.0,28.0,50.0,0.0,Ferrari,0,True,8,113.24000339587401,288,7339.50137249908,13045,31.96083425304921,17.35291620680873,20.73464074482837,6
